price_Item,restaurant_Id,ID,Name_Item
17.12,244,1613,Peach tart
28.22,260,1711,Avocat aux Crevettes avocado and shrimp salad with tarragon mayonnaise
27.74,43,277,"CABERNET SAUVIGNON, Rutherford, Beaulieu"
8.93,68,438,Subgum Shrimp Chow Mein
29.45,45,283,Dom Perignon
19.44,242,1600,Dubonnet
10.85,173,1159,"Coconut Shrimp Jumbo shrimp, battered and dipped in shredded coconut, fried golden brown and served with a Chinese pesto dipping sauce, pineapple chutney, yogurt cucumbers and steamed rice"
30.66,45,286,Christers Champagne Cocktail with Black Currant Sorbet
11.30,18,123,"Domaine Carneros, Brut, 1992, Napa"
12.50,310,2043,Salmon Fillet
20.10,101,660,2004 SAUVIGNON Western Cape Sincerely Neil Ellis
27.40,283,1867,Shredsded Pork w. Garlic Sauce
19.00,48,304,Strawberry Mineral Water
25.10,157,1050,"Mesclun Salad: Leaf Lettuce, Mandarin Oranges, Walnuts, Goat Cheese and Plum Tomatoes ... 5.95"
25.60,94,615,Smoked Chub Fillet
13.50,128,859,"Mixed Green Salad- with Coach Farms triple creme goat cheese, toasted pumpkin seeds and apple cider vinegar"
36.40,296,1954,Golden Bantam Corn on Cob
21.80,282,1862,"Hogue Cellars Fume, 1996, Columbia Valley"
20.90,298,1969,"Hogue Cellars Fume, 1996, Columbia Valley"
19.10,383,2514,"Wraps: W4  Chicken Fajita Black Beans, Vermont Cheddar & Monterey Jack Cheese, Chopped Tomato & Avocado ... 6.25"
8.20,143,957,French fries
30.40,207,1363,"Cuvaison, Chardonnay, Carneros, USA 1999"
10.00,125,845,"Veuve Clicquot, Yellow Label, Brut NV"
24.60,244,1611,San Pellegrino Sparkling Water
25.40,153,1020,"Vegetarian Curried Noodles. Chinese Egg Noodles stir-fried with Leeks, Bok Choi, Eggplant and Tofu"
21.80,75,480,Burger
22.80,30,193,"Merlot, Duckhorn, 1997. (Napa Valley)"
22.60,262,1721,Blueberry  or Apple Crumb Cake ...1.75
24.30,234,1542,Steamed Broccoli w. String Bean
35.80,328,2165,"Trout Provencal. Sauteed with diced Tomatoes, Mushrooms and Garlic...with Rice"
13.80,32,203,CÃƒÂ´te de bÃ…Â“uf with haricot verts and Balthazar onion rings - for two
