item_price,restaurant_id,ID,item_name
25.50,0,0,Drambuie
29.10,0,1,MUSSELS TOSCANE fresh tomatoes
27.70,0,2,Cold Poached Atlantic Salmon: three vegetable antipasti
22.50,0,3,"Mango Carnitas Enchiladas, slowly simmered lean pork loin, onions, and spices layered between two blue corn tortillas with mango chutney, salsa, sour cream, and white cheddar cheese smothered with green chile and garnished with sour cream and corn salsa served with pinto beans and Basmati rice"
18.10,0,4,Croft 90
19.00,0,5,Roast Pork w. Mushrooms
25.00,1,6,Beef Mai Fun
18.00,1,7,"Wraps: W5  Vegetarian Grilled Eggplant, Squash & Zucchini with Avocado, Sprouts & Humus ... 5.75"
20.20,1,8,Hot Chocolate with whipped cream
18.10,1,9,Kaffee Hag
18.60,1,10,Angel Hair Primavera
27.10,1,11,Martini
17.40,2,12,Dr. Pepper
16.20,2,13,KITCHEN-MADE HEADCHEESE with a sweet onion relish
19.30,2,14,"Gewuertztraminer, Trimbach, Alsace, France 1998"
18.30,2,15,Vitello Milanese BREADED VEAL TOPPED WITH MUSHROOMS
21.20,2,16,House Special Chow Fun
19.70,2,17,Braised Pork Loin stuffed with sweet sausage and served with artichoke and zucchini
17.80,2,18,Fresh Blackened Cajun Grouper
19.40,2,19,Broccoli w. Mushrooms
25.80,2,20,Red Zinger Iced Herbal Tea
22.40,3,21,"Tarte Flambee - Alsatian thin crust tart with creme fraiche, onion and applewood smoked bacon"
15.70,3,22,1/2 Crab Mayonnaise
14.00,3,23,OYSTERS:  Malpeque
17.40,3,24,2007 SAUVIGNON BLANC Santa Ynez Valley Brander
15.80,3,25,Banana Pie. Banana with Non-Dairy Yogurt/Shredded Almond
19.10,3,26,"Antipasti Fellinis CLAMS, MUSSELS, SQUID, SHRIMP, STUFFED MUSHROOMS & EGGPLANT ROLLANTINO"
17.50,3,27,Pasta Pomodoro CHOICE OF PASTA WITH TOMATO OR MARINARA SAUCE
16.60,4,28,"Fettuccine Carbonara FETTUCCINE WITH BACON, CHEESE, ONIONS & EGG"
27.50,4,29,San Pellegrino Sparkling Water
15.40,4,30,Smoked Trout Pate with Croutons
24.70,4,31,"Chardonnay, Glass Mountain"
22.90,5,32,Gnocchi Bolognese HOMEMADE DUMPLINGS PASTA WITH MEAT SAUCE
20.20,5,33,"Mix & Match Flight: Franciscan Merlot, McDowell Syrah, Cline Old Vines Zinfandel"
19.60,5,34,Duvel
21.20,5,35,"Mango Carnitas Enchiladas, vegetarian"
22.80,5,36,Fresh Blackened Cajun Grouper
24.10,5,37,GELATI FATTI IN CASA
28.50,6,38,Brie
17.30,6,39,"Albarino, Morgadio, 1999. (Spain)"
17.50,6,40,"FRESH RAINBOW TROUT an 8 oz. boneless rainbow trout grilled and topped with a lemon, herb butter served with steamed Basmati rice and fresh vegetables"
19.80,6,41,Balthazar Bar Steak with pommes frites and  butter or bearnaise  sauce
16.20,6,42,"Tocai Friulano, Borgo Conventi, 1997. (Friuli)"
26.50,6,43,"CAPPELLACCI DI FORMAGGIO large cheese ravioli, prosciutto & sage"
25.80,6,44,Blackened Chicken Sandwich
16.40,6,45,Assorted Smoked Salmon & Shrimp
18.90,6,46,"Grilled Vegetables Including Portobellos, Squash, Eggplant & Zucchini with Melted Mozzarella and a Cucumber Dill Dressing served on Seven Grain Health Bread"
25.90,7,47,Steamed Broccoli w. Chicken
19.70,7,48,"Wraps: W6  Italian Tuna Wrap (No Mayo No Oil), Plum Tomato, Leaf Lettuce & Sprouts ... 5.95"
22.30,7,49,Steamed Broccoli w. Shrimp & Chicken
30.20,7,50,St. Jacques polées
18.50,8,51,"Haut Medoc, Chateau Larose Trintaudon 1995 (Bordeaux)"
19.40,8,52,TOASTED ORANGE SAVARIN
14.80,8,53,Chicken Fried Rice
10.60,8,54,House Special Chow Fun
18.10,8,55,Lobster Fried Rice
14.90,8,56,"House Spicy Maki Rolls - jalapeno smoked salmon, yellowfin tuna, cucumber, scallion, flying fish roe"
17.10,8,57,"Amarone Classico 1995, Allegrini (Veneto)"
16.70,8,58,"Dolcetto DAlba 1999, Gianni Voerzio (Piemonte)"
24.10,9,59,Beef Chop Suey
22.40,9,60,"Saint-Julien, Chateau Gruaud Larose 1987 (Bordeaux)"
23.70,9,61,Cappucino
15.40,9,62,"Ferrando: Piedmont, Erbaluce"
19.10,9,63,Soup of the day
17.00,9,64,Topi-Maki and Mixed Salad
19.00,9,65,Assorted Teas
13.50,9,66,Banoffee
25.10,9,67,"Puligny-Montrachet, Chanson 1995"
17.90,10,68,"BLACK BEAN SOUP, WITH OLD & NEW - FASHIONED ACCOMPANIMENTS"
12.50,10,69,Thai Red Curry with sauteed Shrimp
8.90,10,70,Tuna. Prepared Medium Rare
14.60,10,71,"Frogs Leap, 1995, Napa"
15.70,10,72,"Chianti Classico, Riserva 1997, Felsina Rancia (Toscana)"
10.90,10,73,Baby Back Pork Ribs
20.60,11,74,ARUGOLA WITH A LEMON-OLIVE OIL DRESSING AND PARMESAN SHAVINGS
24.10,11,75,"Château de Pocé, Touraine, 1999, Sauvignon"
26.40,11,76,"Riesling Saering, Grand Cru, Domaine Schlumberger, Alsace, France 1997"
31.40,11,77,Cream of Cauliflower Soup
26.40,12,78,"Insalata Di Spinacci WITH BACON, WALNUTS & MUSHROOMS"
24.70,12,79,"Bistecca Alla Fiornentina (House Specialty)  (For Two), 48 0z prime porterhouse, arugula salad & aged balsamic- per person"
28.00,12,80,"Pollo Tre colori BREAST OF CHICKEN WITH BRAISED RADICCHIO, ARUGOLA, ENDIVE & PLUM TOMATOES"
26.50,12,81,"Pierre Gimonnet: Champagne, Chardonnay, 99"
29.20,12,82,Hamburger
29.80,12,83,"Four Seasons Jumbo shrimp, lobster, chicken, roast pork sauteed w. broccoli, red pepper, baby corn & waterchestnuts in a delicious brown sauce."
23.00,12,84,Fusilli Al Salmone CORKSCREW PASTA WITH SALMON IN A PINK SAUCE
24.60,12,85,Chicken Liver Toast
28.40,13,86,"Half-Sandwich (choice of Tuna Salad, Curried Chicken Salad or Sliced turkey) with Lobster Bisque"
19.40,13,87,"Chateauneuf-du-Pape, Chateau Mont-Redon, Rhone, France 1998"
29.80,13,88,"Cabernet Sauvignon Cuvee Alexandre, Casa Lapostole, Rapel Valley, Chile 1998"
30.00,13,89,Mixed Vegetable Fried Rice
26.10,13,90,Topi-Maki and Mixed Salad
19.60,13,91,OUR VERY OWN APRICOT SORBET
16.60,14,92,Chicken Finger
23.90,14,93,"Merlot, Madame Costeau"
14.30,14,94,Way 2Cool Root Beer (Taos Brewing Co.)  full bodied drinks
14.00,14,95,Rob Roy
20.90,14,96,Terrine de canard
16.40,14,97,112- Veuve Cliquot Brut N/V
13.20,14,98,Boneless Bar-B-Q Spare Ribs
24.50,14,99,Vitello Parma BREADED VEAL TOMATO SAUCE & MOZZARELLA
13.00,14,100,Chicken w. String Bean
23.90,15,101,FRIED CLAM
18.30,15,102,113- Dom Perignon 1993
26.30,15,103,"Chef Salad, Fresh Roasted Turkey, Ham, Cheese and Egg over Our Crisp Garden Salad ... 5.95"
22.20,15,104,"Specialty Sandwiches: #4  Roasted Chicken:  Goat Cheese, Basil & Roasted Red Onions with a Rosemary Herb Dressing on Seeded Italian ... 6.25"
30.70,15,105,Seared Sushi Steak Rolls hoisin sauce
18.00,15,106,Krispy Kream Doughnuts ... .80
20.60,15,107,Chicken w. Garlic Sauce
19.00,15,108,"LHereu: Cava, Macabeo, Xarel-Lo"
25.30,16,109,Baked Stuffed Lobster with buttery Crabmeat Stuffing
19.80,16,110,Apricots
30.80,16,111,Steamed Broccoli w. Shrimp & Chicken
25.90,16,112,Classic Boston Scrod. Baked with buttery Bread Crumbs
29.50,16,113,Chicken Chop Suey
32.80,16,114,Beef w. Mixed Vegetables
26.80,16,115,"Garden Salad. Crisp Greens with Carrots, Peppers, Cucumbers and Cherry Tomatoes ... Sm. 2.25 ... Lg. 4.25"
27.90,16,116,Seafood Antipasto any six seafood items
22.90,17,117,"Half 2 lb Maine Lobster shrimp & scallops, accompanied with a selection of any four vegetables from our Antipasto Bar"
19.70,17,118,"Domaine Carneros, Brut, 1992, Napa"
27.50,17,119,"For Two ROASTED CHICKEN with garlic cloves, french fries Lami Louis style"
20.80,17,120,"Specialty Sandwiches: #18  Chicken Cutlet:  Vermont Cheddar, Leaf Lettuce, Plum Tomato, Bacon, No Fat Russian Dressing on Semolina ... 6.25"
18.30,18,121,Kung Po Baby Shrimp
12.80,18,122,Marinated Olives
11.30,18,123,"Domaine Carneros, Brut, 1992, Napa"
19.10,18,124,OUR VERY OWN APRICOT SORBET
16.90,18,125,"Vowel: Scotch, Sweet Vermouth, OJ, Akavit, Bitters"
13.90,18,126,2007 ASSYRTIKO Santorini Sigalas
8.20,18,127,Sorbet
29.20,19,128,"White Wine by the Bottle: Chardonnay Winemakers Reserve, Lindemans, Padthaway, Australia 1997"
28.20,19,129,Cheesecake Sorbet with fresh berries and strawberry coulis
24.50,19,130,Grgich Hills 1995 Napa
25.70,19,131,Steamed Broccoli w. Shrimp & Chicken
25.70,19,132,"Lamb Chops, Colorado lamb loin chops crusted with toasted cumin, coriander and cracked peppercorns grilled and accompanied by a roasted garlic and sage aioli served with rosemary roasted new potatoes and fresh vegetables"
20.00,19,133,Caesar Salad
19.90,19,134,"Prosciutto Pizza - mozzarella, goat cheese, tomato & arugula salad"
25.30,20,135,Lake Tung Ting Shrimp Shrimp w. Chinese vegetable & black bean in hot egg sauce
25.90,20,136,"Hogue Cellars Fume, 1996, Columbia Valley"
28.30,20,137,"Cabernet Sauvignon, Pedroncelli Three Vineyards 1995 (Sonoma)"
17.30,20,138,Bisque de Homard
23.00,20,139,Butterfly Shrimp w. Bacon
29.10,20,140,Pot Roast Rabbit with Fennel & Olives
21.90,20,141,"St. Morillion 1996, Chile"
27.30,21,142,"Stags Leap 1995, Napa"
27.60,21,143,Rice Pilaf with Orzo
31.20,21,144,"Vitello Sorrentino VEAL WITH EGGPLANT, PROSCIUTTO & MOZZARELLA IN A WHITE WINE SAUCE"
25.20,21,145,"Puligny-Montrachet, Chanson 1995"
