id;opening_hours;city;creation_date;street;email;phone_number;name
0;08:00-21:00;New York;4/3/17 14:06;E 84th St;billiard_pool_and_bowling_tournament@gmail.com;0499-071595;Billiard Pool And Bowling Tournament
1;12:00-23:00;;4/4/17 12:46;W 168th St;palliser_hotel@aol.com;0494-416309;Palliser Hotel
2;13:00-23:00;San Francisco;4/5/17 4:01;Thornton Ave;duffs@gmail.com;0495-750801;Duffs
3;12:00-20:00;San Francisco;4/5/17 4:59;Lassen Alley;[the_waldorf_astoria_hotel_(new_york,_ny)]@yahoo.com;0495-004404;[The Waldorf Astoria Hotel (New York, N.Y.)]
4;13:00-23:00;New York;4/6/17 4:37;York Ave;grand_hotel_royal@aol.com;0497-902845;Grand Hotel Royal
5;12:00-20:00;San Francisco;4/6/17 21:39;Christmas Tree Point Rd;the_spalding@yahoo.com;0496-025089;The Spalding
6;13:00-23:00;San Francisco;4/7/17 9:44;Gaviota Way;camp_wadsworth@aol.com;0497-545403;Camp Wadsworth
7;08:00-21:00;San Francisco;4/7/17 13:08;Moscow St;chula_vista@yahoo.com;0497-768114;Chula Vista
8;08:00-12:00;New York;4/8/17 10:03;Rector Pl;cafe_zur_frauenkirche_@yahoo.com;0494-847491;Cafe Zur Frauenkirche
9;12:00-20:00;New York;4/9/17 2:10;Cherry St;del_coronada_hotel@yahoo.com;0499-572241;Del Coronada Hotel
10;08:00-12:00;San Francisco;4/9/17 23:25;Pixley St;san_remo_hotel@aol.com;0499-049339;San Remo Hotel
11;08:00-21:00;San Francisco;4/10/17 15:26;37th Ave;old_poodle_dog_restaurant@inbox.com;0497-207420;Old Poodle Dog Restaurant
12;12:00-23:00;;4/10/17 19:20;Fort George Ave;roome_lodge@mail.com;0494-584106;Roome Lodge
13;13:00-23:00;New York;4/11/17 1:09;Leroy St;campi@yahoo.com;0497-846102;Campi
14;12:00-20:00;San Francisco;4/13/17 2:39;Central Ave;hotel_st_george@inbox.com;0497-692057;Hotel St. George
15;12:00-23:00;;4/13/17 10:49;Donner Ave;robert_e_peary@inbox.com;0494-709746;Robert E. Peary
16;12:00-23:00;;4/13/17 12:08;Harrison Blvd - Golden Gate National Recreation Area;henri_confiseur@inbox.com;0499-393361;Henri Confiseur
17;08:00-21:00;New York;4/14/17 1:04;W 163rd St;junket_club@gmail.com;0497-162179;Junket Club
18;08:00-12:00;San Francisco;4/14/17 10:41;Higuera Ave;the_pennsylvania_bar_association_on_behalf_of_the_bar_of_the_commonwealth@outlook.com;0495-673340;The Pennsylvania Bar Association On Behalf Of The Bar Of The Commonwealth
19;13:00-23:00;San Francisco;4/14/17 14:49;French Ct - Golden Gate National Recreation Area;pains_fireworks_co_employees@aol.com;0495-997499;Pains Fireworks Co. Employees
20;13:00-23:00;San Francisco;4/15/17 11:08;Jackson St;john_hart@yahoo.com;0495-220630;John Hart
21;12:00-23:00;;4/15/17 13:05;Bosworth St;ss_bruce@inbox.com;0495-086825;S.S. Bruce
22;13:00-23:00;New York;4/16/17 12:26;University Pl;ss_hastings@mail.com;0497-759548;S.S. Hastings
23;08:00-21:00;New York;4/16/17 19:34;W 105th St;waldorf_hotel@hotmail.com;0497-155341;Waldorf Hotel
24;12:00-23:00;;4/17/17 4:22;Cordelia St;greenhuts_lunch_room_at_18th_and_19th_streets@outlook.com;0497-157694;Greenhuts Lunch Room at 18th and 19th Streets.
25;13:00-23:00;San Francisco;4/20/17 23:22;Otis St;berkeley_class_of_91@hotmail.com;0499-030675;Berkeley Class Of 91
26;12:00-20:00;New York;4/21/17 1:55;Barrow St;iturbide_restaurant@outlook.com;0499-616306;Iturbide Restaurant
